,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,DELHI,CENTRAL,,0,652,0,652,0,7931,0,7931,0,7931,0,461,0,461,0,,0,0,0,0,0,0,0,69,0,69,0,2,0,2,0,53,0,53,0,1982,0,1982,0,0,0,0,0,2567,0,2567,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,2567,0,2567,0,257,0,257,0,2310,0,2310,,1498,,1498,,0,,0,,249,,249,,1747,,1747,,76,,76,0,2287,0,2287,0,563,0,563,,,,,,,,,,,,,,0,0,2310,0,0,,0,,0,,,,,,,,2310,0
149,DELHI,EAST,,0,652,0,652,0,3160,0,3160,0,3160,0,147,0,147,0,,0,0,0,0,0,0,0,33,0,33,0,5,0,5,0,53,0,53,0,1431,0,1431,0,0,0,0,0,1668,0,1668,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,1668,0,1668,0,167,0,167,0,1501,0,1501,,1329,,1329,,0,,0,,119,,119,,1448,,1448,,96,,96,0,1530,0,1530,0,72,0,72,,,,,,,,,,,,,,0,0,1501,0,0,,0,,0,,,,,,,,1501,0
150,DELHI,NAZUL LAND,,0,652,0,652,0,2579,0,2579,0,2579,0,391,0,391,0,,0,0,0,0,0,0,0,64,0,64,0,0,0,0,0,3,0,3,0,114,0,114,0,0,0,0,0,571,0,571,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,571,0,571,0,57,0,57,0,514,0,514,,105,,105,,0,,0,,233,,233,,338,,338,,66,,66,0,105,0,105,0,176,0,176,,,,,,,,,,,,,,0,0,514,0,0,,0,,0,,,,,,,,514,0
151,DELHI,NEW DELHI,,0,652,0,652,0,15809,0,15809,0,15809,0,1119,0,1119,0,,0,0,0,0,0,0,0,190,0,190,0,7,0,7,0,63,0,63,0,1651,0,1651,0,0,0,0,0,3029,0,3029,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3029,0,3029,0,303,0,303,0,2726,0,2726,,2671,,2671,,2,,2,,687,,687,,3360,,3360,,123,,123,0,2842,0,2842,0,9,0,9,,,,,,,,,,,,,,0,0,2726,0,0,,0,,0,,,,,,,,2726,0
152,DELHI,NORTH,,0,652,0,652,0,29114,0,29114,0,29114,0,2300,0,2300,0,,0,0,0,0,0,0,0,137,0,137,0,15,0,15,0,71,0,71,0,2203,0,2203,0,0,0,0,0,4725,0,4725,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,4725,0,4725,0,472,0,472,0,4252,0,4252,,3248,,3248,,50,,50,,492,,492,,3790,,3790,,89,,89,0,3535,0,3535,0,462,0,462,,,,,,,,,,,,,,0,0,4252,0,0,,0,,0,,,,,,,,4252,0
153,DELHI,NORTH EAST,,0,652,0,652,0,3567,0,3567,0,3567,0,184,0,184,0,,0,0,0,0,0,0,0,43,0,43,0,2,0,2,0,37,0,37,0,1547,0,1547,0,0,0,0,0,1814,0,1814,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,1814,0,1814,0,181,0,181,0,1632,0,1632,,1576,,1576,,0,,0,,155,,155,,1730,,1730,,106,,106,0,1627,0,1627,0,50,0,50,,,,,,,,,,,,,,0,0,1632,0,0,,0,,0,,,,,,,,1632,0
154,DELHI,NORTH WEST,,0,652,0,652,0,15436,0,15436,0,15436,0,1296,0,1296,0,,0,0,0,0,0,0,0,141,0,141,0,1,0,1,0,48,0,48,0,2386,0,2386,0,0,0,0,0,3873,0,3873,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3873,0,3873,0,387,0,387,0,3486,0,3486,,1748,,1748,,1,,1,,511,,511,,2260,,2260,,65,,65,0,2692,0,2692,0,1226,0,1226,,,,,,,,,,,,,,0,0,3486,0,0,,0,,0,,,,,,,,3486,0
155,DELHI,SHAHDARA,,0,652,0,652,0,3459,0,3459,0,3459,0,149,0,149,0,,0,0,0,0,0,0,0,94,0,94,0,2,0,2,0,53,0,53,0,1353,0,1353,0,0,0,0,0,1651,0,1651,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,1651,0,1651,0,165,0,165,0,1486,0,1486,,1328,,1328,,1,,1,,338,,338,,1667,,1667,,112,,112,0,1549,0,1549,0,13,0,13,,,,,,,,,,,,,,0,0,1486,0,0,,0,,0,,,,,,,,1486,0
156,DELHI,SOUTH,,0,652,0,652,0,15785,0,15785,0,15785,0,1184,0,1184,0,,0,0,0,0,0,0,0,197,0,197,0,26,0,26,0,65,0,65,0,3055,0,3055,0,0,0,0,0,4527,0,4527,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,4527,0,4527,0,453,0,453,0,4075,0,4075,,3504,,3504,,0,,0,,710,,710,,4214,,4214,,103,,103,0,3504,0,3504,0,138,0,138,,,,,,,,,,,,,,0,0,4075,0,0,,0,,0,,,,,,,,4075,0
157,DELHI,SOUTH EAST,,0,652,0,652,0,10352,0,10352,0,10352,0,648,0,648,0,,0,0,0,0,0,0,0,61,0,61,0,3,0,3,0,59,0,59,0,1893,0,1893,0,0,0,0,0,2664,0,2664,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,2664,0,2664,0,266,0,266,0,2398,0,2398,,1883,,1883,,13,,13,,220,,220,,2116,,2116,,88,,88,0,1940,0,1940,0,225,0,225,,,,,,,,,,,,,,0,0,2398,0,0,,0,,0,,,,,,,,2398,0
158,DELHI,SOUTH WEST,,0,652,0,652,0,30516,0,30516,0,30516,0,2920,0,2920,0,,0,0,0,0,0,0,0,1102,0,1102,0,26,0,26,0,72,0,72,0,3260,0,3260,0,0,0,0,0,7380,0,7380,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,7380,0,7380,0,738,0,738,0,6642,0,6642,,1907,,1907,,0,,0,,3981,,3981,,5888,,5888,,89,,89,0,3220,0,3220,0,138,0,138,,,,,,,,,,,,,,0,0,6642,0,0,,0,,0,,,,,,,,6642,0
159,DELHI,WEST,,0,652,0,652,0,11054,0,11054,0,11054,0,1248,0,1248,0,,0,0,0,0,0,0,0,203,0,203,0,6,0,6,0,66,0,66,0,2312,0,2312,0,0,0,0,0,3835,0,3835,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3835,0,3835,0,300,0,300,0,3535,0,3535,,2539,,2539,,1,,1,,732,,732,,3271,,3271,,93,,93,0,2545,0,2545,0,360,0,360,,,,,,,,,,,,,,0,0,3535,0,0,,0,,0,,,,,,,,3535,0
160,GOA,GOA NORTH,,3408,3343,0,3354,17854,81133,0,98987,47323,146310,2523,12070,0,14593,287,,0,287,689,26,0,716,0,372,0,372,7,29,0,37,319,172,0,492,,,,,,,,,3826,12670,0,16495,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,3826,12670,0,16495,765,2534,0,3299,3060,10136,0,13196,288,1536,,1824,21,84,,106,195,1481,,1675,504,3101,,3605,16,31,,27,342,1820,0,2162,2503,6751,0,9254,,,,,,,,,,,,,,0,0,13196,0,0,,0,,0,,,,,,,,13196,0
161,GOA,SOUTH GOA,,3413,3350,0,3356,10861,111111,0,121972,101916,223888,1926,17777,0,19704,460,,0,460,359,141,0,500,0,213,0,213,12,155,0,167,33,555,0,588,,,,,,,,,2791,18841,0,21631,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,2791,18841,0,21631,558,3768,0,4326,2232,15073,0,17305,203,1995,,2199,32,344,,375,73,853,,926,308,3192,,3500,14,21,,20,241,2365,0,2606,1887,11511,0,13397,,,,,,,,,,,,,,0,0,17305,0,0,,0,,0,,,,,,,,17305,0
162,GUJARAT,AHMEDABAD,,741,0,687,701,184138,0,523588,707726,0,707726,25277,0,76462,101739,2715,,437018,439734,10754,0,0,10754,3703,0,9212,12915,193,,216,409,3131,,1594,4725,0,0,0,0,0,0,0,0,45773,0,524502,570275,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,45773,0,524502,570275,3515,0,52393,55907,42258,0,472110,514368,2663,,2148,4811,3490,,0,3490,24586,,42485,67072,30739,,44634,75372,73,,9,73,2980,0,2792,2980,16338,0,427386,16338,,,,,,,,,,,,,,0,0,42258,472110,0,,0,,0,,,,,,,,42258,472110
163,GUJARAT,AMRELI,,731,0,856,735,723204,0,24643,747847,0,747847,133588,0,1429,135017,31,,0,31,1620,0,0,1620,12863,0,367,13230,373,,3,376,3804,,41,3845,,,,,,,,,152278,0,1840,154119,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,152278,0,1840,154119,7614,0,92,7706,144665,0,1748,146413,1217,,37,1254,74,,0,74,81614,,1359,82974,82905,,1397,84302,57,,80,57,1340,0,41,1340,61636,0,348,61636,,,,,,,,,,,,,,0,0,144665,1748,0,,0,,0,,,,,,,,144665,1748
164,GUJARAT,ANAND,,872,0,831,859,212912,0,91208,304119,0,304119,33540,0,15086,48626,51942,,0,51942,26138,0,0,26138,6588,0,1155,7742,588,,75,663,1034,,38,1073,,,,,,,,,119831,0,16353,136184,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,119831,0,16353,136184,9036,0,835,9871,110795,0,15518,126313,3626,,519,4145,2624,,0,2624,26368,,4260,30628,32618,,4779,37397,29,,31,29,4182,0,598,4182,77621,0,10659,77621,,,,,,,,,,,,,,0,0,110795,15518,0,,0,,0,,,,,,,,110795,15518
165,GUJARAT,ARVALLI,,901,0,0,901,310372,0,0,310372,6518,316890,80036,0,0,80036,1216,,0,1216,1672,0,0,1672,7163,0,0,7163,253,,0,253,639,,0,639,,,,,,,,,90978,0,0,90978,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,90978,0,0,90978,4549,0,0,4549,86429,0,0,86429,2089,,,2089,25,,,25,35908,,,35908,38022,,,38022,44,,,44,2528,0,0,2528,47968,0,0,47968,,,,,,,,,,,,,,0,0,86429,0,0,,0,,0,,,,,,,,86429,0
166,GUJARAT,BANASKANTHA,,761,0,553,686,669984,0,380151,1050135,29809,1079945,100029,0,49788,149817,594,,7092,7686,88,0,0,88,12992,0,4999,17991,343,,183,526,18076,,1288,19364,,,,,,,,,132122,0,63349,195471,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,132122,0,63349,195471,13212,0,6335,19547,118910,0,57014,175924,4343,,867,5210,42,,0,42,140057,,44688,184745,144442,,45555,189997,121,,80,121,5800,0,1158,5800,11587,0,24355,11587,,,,,,,,,,,,,,0,0,118910,57014,0,,0,,0,,,,,,,,118910,57014
167,GUJARAT,BHARUCH,,827,0,771,805,332923,0,213376,546298,4390,550688,41929,0,24593,66522,8433,,1015,9447,9495,0,0,9495,3806,0,905,4711,530,,248,778,5392,,105,5497,,,,,,,,,69584,0,26866,96451,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,69584,0,26866,96451,6027,0,2229,8256,63558,0,24637,88195,1857,,626,2484,1340,,0,1340,14125,,3579,17704,17322,,4205,21527,27,,17,27,2155,0,703,2155,45939,0,20443,45939,,,,,,,,,,,,,,0,0,63558,24637,0,,0,,0,,,,,,,,63558,24637
168,GUJARAT,BHAVNAGAR,,672,0,767,691,585752,0,142396,728148,0,728148,90285,0,13010,103295,379,,0,379,6777,0,0,6777,8985,0,1254,10239,489,,19,508,4931,,235,5166,,,,,,,,,111846,0,14518,126364,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,111846,0,14518,126364,5592,0,746,6338,106254,0,13772,120026,3237,,726,3964,79,,0,79,44385,,5177,49562,47701,,5903,53605,45,,43,45,3913,0,878,3913,57877,0,9021,57877,,,,,,,,,,,,,,0,0,106254,13772,0,,0,,0,,,,,,,,106254,13772
169,GUJARAT,BOTAD,,712,0,721,714,203056,0,45424,248480,0,248480,38612,0,6076,44688,523,,0,523,313,0,0,313,4033,0,850,4882,38,,4,42,1782,,37,1818,,,,,,,,,45301,0,6966,52266,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,45301,0,6966,52266,2265,0,350,2615,43035,0,6616,49651,920,,114,1033,17,,0,17,23708,,3905,27613,24644,,4019,28663,57,,61,57,1112,0,137,1112,18199,0,2573,18199,,,,,,,,,,,,,,0,0,43035,6616,0,,0,,0,,,,,,,,43035,6616
170,GUJARAT,CHHOTA UDEPUR,,1119,0,0,1119,326493,0,0,326493,17298,343791,42927,0,0,42927,8720,,0,8720,1931,0,0,1931,5965,0,0,5965,316,,0,316,3455,,0,3455,,,,,,,,,63315,0,0,63315,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,63315,0,0,63315,6332,0,0,6332,56984,0,0,56984,2265,,,2265,1,,,1,23578,,,23578,25844,,,25844,45,,,45,2662,0,0,2662,30742,0,0,30742,,,,,,,,,,,,,,0,0,56984,0,0,,0,,0,,,,,,,,56984,0
171,GUJARAT,DAHOD,,724,0,0,724,351971,0,0,351971,12158,364129,19313,0,0,19313,859,,0,859,3948,0,0,3948,3123,0,0,3123,225,,0,225,9973,,0,9973,,,,,,,,,37441,0,0,37441,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,37441,0,0,37441,3404,0,0,3404,34037,0,0,34037,2360,,,2360,3,,,3,11501,,,11501,13864,,,13864,41,,,41,3390,0,0,3390,19143,0,0,19143,,,,,,,,,,,,,,0,0,34037,0,0,,0,,0,,,,,,,,34037,0
172,GUJARAT,DANG,,2388,0,0,2388,144922,0,0,144922,35515,180437,32398,0,0,32398,0,,0,0,8,0,0,8,949,0,0,949,98,,0,98,1204,,0,1204,,,,,,,,,34657,0,0,34657,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,34657,0,0,34657,3466,0,0,3466,31191,0,0,31191,503,,,503,1,,,1,3452,,,3452,3956,,,3956,13,,,13,646,0,0,646,27092,0,0,27092,,,,,,,,,,,,,,0,0,31191,0,0,,0,,0,,,,,,,,31191,0
173,GUJARAT,DEVBHUMI DWARKA,,937,0,812,919,360786,0,59851,420637,12245,432882,38179,0,4549,42727,522,,0,522,196,0,0,196,5377,0,620,5997,210,,12,222,1404,,110,1515,,,,,,,,,45888,0,5291,51179,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,45888,0,5291,51179,2294,0,265,2559,43593,0,5026,48620,1600,,100,1700,100,,0,100,28956,,2958,31913,30656,,3058,33714,70,,61,70,1863,0,117,1863,12674,0,1952,12674,,,,,,,,,,,,,,0,0,43593,5026,0,,0,,0,,,,,,,,43593,5026
174,GUJARAT,GANDHINAGAR,,795,0,0,795,215521,0,0,215521,0,215521,45095,0,0,45095,9523,,1781,11304,137,0,0,137,6478,0,0,6478,368,,0,368,1700,0,0,1700,,,,,,,,,63300,0,1781,65082,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,63300,0,1781,65082,5509,0,178,5687,57791,0,1603,59394,1365,,,1365,926,,,926,62018,,,62018,64309,,,64309,111,,,111,1887,0,0,1887,9669,0,1603,9669,,,,,,,,,,,,,,0,0,57791,1603,0,,0,,0,,,,,,,,57791,1603
175,GUJARAT,GIR SOMNATH,,1109,0,1075,1108,315650,0,12939,328588,0,328588,66793,0,4169,70962,1076,,0,1076,224,0,0,224,7204,0,341,7545,335,,42,377,768,,51,820,,,,,,,,,76400,0,4603,81004,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,76400,0,4603,81004,6104,0,312,6416,70296,0,4291,74587,3032,,29,3061,77,,0,77,31370,,1458,32828,34479,,1487,35966,49,,35,49,3472,0,33,3472,35378,0,2800,35378,,,,,,,,,,,,,,0,0,70296,4291,0,,0,,0,,,,,,,,70296,4291
176,GUJARAT,JAMNAGAR,,807,0,821,808,579332,0,63016,642348,99,642447,116935,0,4203,121138,337,,0,337,3592,0,0,3592,11409,0,1235,12644,244,,14,258,5011,,90,5101,,,,,,,,,137527,0,5542,143069,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,137527,0,5542,143069,6876,0,287,7163,130651,0,5255,135906,2454,,96,2549,46,,0,46,54492,,4340,58832,56992,,4436,61428,44,,84,44,2857,0,111,2857,73256,0,1246,73256,,,,,,,,,,,,,,0,0,130651,5255,0,,0,,0,,,,,,,,130651,5255
177,GUJARAT,JUNAGADH,,1192,0,1047,1182,509084,0,38041,547124,8142,555266,143726,0,9179,152905,1065,,0,1065,151,0,0,151,12206,0,1200,13405,227,,22,249,1371,,83,1453,,,,,,,,,158745,0,10483,169229,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,158745,0,10483,169229,7937,0,530,8467,150808,0,9954,160762,3197,,136,3333,79,,0,79,68229,,5580,73809,71505,,5716,77221,47,,57,47,3845,0,156,3845,78655,0,4592,78655,,,,,,,,,,,,,,0,0,150808,9954,0,,0,,0,,,,,,,,150808,9954
178,GUJARAT,KACHCHH,,561,0,560,560,840179,0,1208956,2049136,0,2049136,63154,0,99800,162955,23,,2892,2915,6272,0,0,6272,6485,0,10689,17174,491,,111,602,22162,,527,22689,,,,,,,,,98586,0,114020,212606,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,98586,0,114020,212606,8670,0,10979,19650,89916,0,103040,192956,1107,,2492,3599,1077,,0,1077,44384,,69419,113802,46568,,71911,118478,52,,70,52,1636,0,3682,1636,43128,0,38764,43128,,,,,,,,,,,,,,0,0,89916,103040,0,,0,,0,,,,,,,,89916,103040
179,GUJARAT,KHEDA,,872,0,795,859,286445,0,57320,343764,0,343764,45111,0,8967,54077,18922,,0,18922,14272,0,0,14272,5871,0,1920,7791,687,,12,699,1815,,10,1824,,,,,,,,,86678,0,10909,97587,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,86678,0,10909,97587,7316,0,974,8290,79362,0,9934,89296,2920,,348,3268,631,,0,631,29309,,7221,36529,32860,,7569,40429,41,,76,41,3375,0,403,3375,46047,0,2311,46047,,,,,,,,,,,,,,0,0,79362,9934,0,,0,,0,,,,,,,,79362,9934
180,GUJARAT,MAHESANA,,761,0,760,760,288807,0,151941,440748,2428,443176,51721,0,24111,75832,6875,,174738,181614,5605,0,0,5605,14402,0,6668,21070,431,,46,477,3330,,681,4011,,,,,,,,,82365,0,206244,288609,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,82365,0,206244,288609,7814,0,20624,28439,74551,0,185620,260170,1464,,481,1945,942,,0,942,78663,,32841,111504,81069,,33322,114391,109,,18,109,1651,0,543,1651,6309,0,156937,6309,,,,,,,,,,,,,,0,0,74551,185620,0,,0,,0,,,,,,,,74551,185620
181,GUJARAT,MAHISAGAR,,752,0,0,752,245901,0,0,245901,4096,249997,17689,0,0,17689,4970,,0,4970,4365,0,0,4365,4023,0,0,4023,424,,0,424,2663,,0,2663,,,,,,,,,34133,0,0,34133,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,34133,0,0,34133,3413,0,0,3413,30720,0,0,30720,918,,,918,13,,,13,14594,,,14594,15524,,,15524,51,,,51,1107,0,0,1107,15006,0,0,15006,,,,,,,,,,,,,,0,0,30720,0,0,,0,,0,,,,,,,,30720,0
182,GUJARAT,MORBI,,653,0,564,626,348052,0,151218,499270,0,499270,41583,0,13694,55276,131,,66,197,19025,0,0,19025,8744,0,1824,10568,334,,63,397,2496,,152,2647,,,,,,,,,72314,0,15797,88111,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,72314,0,15797,88111,4694,0,1368,6061,67620,0,14430,82050,1488,,180,1668,192,,0,192,33312,,6289,39601,34992,,6469,41461,52,,45,52,1862,0,223,1862,32254,0,10331,32254,,,,,,,,,,,,,,0,0,67620,14430,0,,0,,0,,,,,,,,67620,14430
183,GUJARAT,NARMADA,,1123,0,0,1123,250995,0,0,250995,29237,280232,27824,0,0,27824,1889,,0,1889,1966,0,0,1966,5549,0,0,5549,65,,0,65,4359,,0,4359,,,,,,,,,41652,0,0,41652,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,41652,0,0,41652,2995,0,0,2995,38657,0,0,38657,553,,,553,5,,,5,25284,,,25284,25842,,,25842,67,,,67,654,0,0,654,12714,0,0,12714,,,,,,,,,,,,,,0,0,38657,0,0,,0,,0,,,,,,,,38657,0
184,GUJARAT,NAVSARI,,1895,0,0,1895,216782,0,0,216782,5828,222610,61639,0,0,61639,2792,,0,2792,12162,0,0,12162,5819,0,0,5819,178,,39,217,696,,69,764,,,,,,,,,83285,0,108,83393,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,83285,0,108,83393,6120,0,11,6131,77165,0,97,77262,2712,,,2712,276,,,276,21010,,,21010,23997,,,23997,31,,,31,2973,0,0,2973,52907,0,97,52907,,,,,,,,,,,,,,0,0,77165,97,0,,0,,0,,,,,,,,77165,97
185,GUJARAT,PANCHMAHAL,,912,0,0,912,325474,0,0,325474,3567,329041,20535,0,0,20535,13083,,0,13083,5447,0,0,5447,3594,0,0,3594,225,,0,225,15307,,0,15307,,,,,,,,,58192,0,0,58192,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,58192,0,0,58192,3894,0,0,3894,54298,0,0,54298,1564,,,1564,375,,,375,12748,,,12748,14687,,,14687,27,,,27,1923,0,0,1923,39252,0,0,39252,,,,,,,,,,,,,,0,0,54298,0,0,,0,,0,,,,,,,,54298,0
186,GUJARAT,PATAN,,813,0,579,627,117108,0,451543,568651,0,568651,25117,0,55983,81100,7080,,7809,14889,527,0,0,527,3717,0,3863,7580,45,,189,234,4522,,5704,10227,,,,,,,,,41008,0,73548,114556,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,41008,0,73548,114556,3398,0,7355,10753,37610,0,66193,103803,938,,543,1482,29,,0,29,43629,,25979,69608,44596,,26522,71118,119,,40,119,1094,0,633,1094,12,0,45810,12,,,,,,,,,,,,,,0,0,37610,66193,0,,0,,0,,,,,,,,37610,66193
187,GUJARAT,PORBANDAR,,854,0,829,844,133858,0,96683,230541,0,230541,19625,0,13174,32799,75,,0,75,0,0,0,0,2596,0,2088,4683,48,,17,65,650,,120,770,,,,,,,,,22994,0,15398,38392,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,22994,0,15398,38392,1548,0,1204,2751,21447,0,14194,35641,527,,367,894,222,,0,222,11376,,8307,19683,12125,,8674,20799,57,,61,57,584,0,407,584,9264,0,5480,9264,,,,,,,,,,,,,,0,0,21447,14194,0,,0,,0,,,,,,,,21447,14194
188,GUJARAT,RAJKOT,,813,0,558,809,764587,0,11672,776259,0,776259,139884,0,0,139884,708,,0,708,2219,0,0,2219,24252,0,0,24252,435,,0,435,10423,,0,10423,0,0,0,0,0,0,0,0,177922,0,0,177922,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,177922,0,0,177922,8896,0,0,8896,169025,0,0,169025,2596,,0,2596,520,,0,520,108251,,1676,109927,111367,,1676,113043,66,,0,66,3273,0,0,3273,56981,0,0,56981,,,,,,,,,,,,,,0,0,169025,0,0,,0,,0,,,,,,,,169025,0
189,GUJARAT,RANA AND KUTCH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
